------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 4, Fitness: 5748.00, Best Genome:  \w\w\w[^p], Time Elapsed 7.22
Generation 5, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 8.50
Generation 6, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 9.85
Generation 7, Fitness: 5742.00, Best Genome: .\w\w , Time Elapsed 12.42
Generation 8, Fitness: 5729.00, Best Genome: \w.\w , Time Elapsed 12.29
Generation 9, Fitness: 5634.00, Best Genome:  \w\w\w\w, Time Elapsed 14.49
Generation 10, Fitness: 5634.00, Best Genome:  \w\w\w\w, Time Elapsed 14.57
Generation 11, Fitness: 5634.00, Best Genome:  \w\w\w\w, Time Elapsed 15.28
Generation 12, Fitness: 5634.00, Best Genome:  \w\w\w\w, Time Elapsed 15.73
Generation 13, Fitness: 5612.00, Best Genome:  .\w..\w[^S], Time Elapsed 16.58
Generation 14, Fitness: 5612.00, Best Genome:  .\w..\w[^S], Time Elapsed 16.92
Generation 15, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 17.91
Generation 16, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.39
Generation 17, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 19.41
Generation 18, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.47
Generation 19, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.21
Generation 20, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 17.66
Generation 21, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.16
Generation 22, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.47
Generation 23, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 17.80
Generation 24, Fitness: 5512.00, Best Genome:  .\w\w\w[^S], Time Elapsed 18.61
Generation 25, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 18.68
Generation 26, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 18.72
Generation 27, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 18.94
Generation 28, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.93
Generation 29, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 20.64
Generation 30, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.01
