------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 2, Fitness: 5719.00, Best Genome: [^ ]\w[^.], Time Elapsed 2.02
Generation 3, Fitness: 5714.00, Best Genome: \w\w[^.], Time Elapsed 2.13
Generation 4, Fitness: 5565.00, Best Genome: [^ ]\w\w, Time Elapsed 2.73
Generation 5, Fitness: 5536.00, Best Genome: \w.\w[n], Time Elapsed 2.49
Generation 6, Fitness: 5536.00, Best Genome: \w.\w[n], Time Elapsed 2.61
Generation 7, Fitness: 5536.00, Best Genome: \w.\w[n], Time Elapsed 2.66
Generation 8, Fitness: 5536.00, Best Genome: \w.\w[n], Time Elapsed 2.82
Generation 9, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.03
Generation 10, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.02
Generation 11, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 2.94
Generation 12, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 4.10
Generation 13, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.24
Generation 14, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.33
Generation 15, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.32
Generation 16, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.46
Generation 17, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.46
Generation 18, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.53
Generation 19, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.68
Generation 20, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.81
Generation 21, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 3.84
Generation 22, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 5.16
Generation 23, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 5.08
Generation 24, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 4.39
Generation 25, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 4.13
Generation 26, Fitness: 5056.00, Best Genome: \w.\w. , Time Elapsed 4.36
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5491.00, Best Genome: \w[^T]. , Time Elapsed 1.11
Generation 1, Fitness: 5491.00, Best Genome: \w[^T]. , Time Elapsed 1.55
Generation 2, Fitness: 5491.00, Best Genome: \w[^T]. , Time Elapsed 1.93
Generation 3, Fitness: 5491.00, Best Genome: \w[^T]. , Time Elapsed 2.17
Generation 4, Fitness: 5491.00, Best Genome: \w[^T]. , Time Elapsed 2.50
Generation 5, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 2.66
Generation 6, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.01
Generation 7, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.33
Generation 8, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.52
Generation 9, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.79
Generation 10, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.69
Generation 11, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.77
Generation 12, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.79
Generation 13, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 3.95
Generation 14, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 4.32
Generation 15, Fitness: 5281.00, Best Genome: \w\w\w., Time Elapsed 4.17
Generation 16, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.39
Generation 17, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.12
Generation 18, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.27
Generation 19, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.46
Generation 20, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.37
Generation 21, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.37
Generation 22, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.37
Generation 23, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.49
Generation 24, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.95
Generation 25, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.68
Generation 26, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 5.04
Generation 27, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.58
Generation 28, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.80
Generation 29, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.95
Generation 30, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.14
Generation 31, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.83
Generation 32, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.07
Generation 33, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.13
Generation 34, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.99
Generation 35, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.21
Generation 36, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.14
Generation 37, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.05
Generation 38, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.10
Generation 39, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.33
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 6275.00, Best Genome:  A\w.|\w, Time Elapsed 0.80
Generation 1, Fitness: 5981.00, Best Genome:  \w.|\w, Time Elapsed 0.95
Generation 2, Fitness: 5724.00, Best Genome:  \w.\w, Time Elapsed 1.19
Generation 3, Fitness: 5724.00, Best Genome:  \w.\w, Time Elapsed 1.42
Generation 4, Fitness: 5563.00, Best Genome: \w..\w, Time Elapsed 2.17
Generation 5, Fitness: 5563.00, Best Genome: \w..\w, Time Elapsed 2.14
Generation 6, Fitness: 5563.00, Best Genome: \w..\w, Time Elapsed 2.43
Generation 7, Fitness: 5563.00, Best Genome: \w..\w, Time Elapsed 2.77
Generation 8, Fitness: 5563.00, Best Genome: \w..\w, Time Elapsed 2.93
Generation 9, Fitness: 5516.00, Best Genome: .\w \w\w, Time Elapsed 3.38
Generation 10, Fitness: 5488.00, Best Genome: \w\w. , Time Elapsed 3.63
Generation 11, Fitness: 5488.00, Best Genome: \w\w. , Time Elapsed 3.64
Generation 12, Fitness: 5488.00, Best Genome: \w\w. , Time Elapsed 4.20
Generation 13, Fitness: 5488.00, Best Genome: \w\w. , Time Elapsed 4.23
Generation 14, Fitness: 5350.00, Best Genome:  \w+\w, Time Elapsed 4.78
Generation 15, Fitness: 5350.00, Best Genome:  \w+\w, Time Elapsed 4.29
Generation 16, Fitness: 5350.00, Best Genome:  \w+\w, Time Elapsed 4.47
Generation 17, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.87
Generation 18, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 4.72
Generation 19, Fitness: 4970.00, Best Genome: \w\w\w\w, Time Elapsed 5.04
Generation 20, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.94
