------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 41, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 10.78
Generation 42, Fitness: 5335.00, Best Genome:  \w\w.\w\w, Time Elapsed 10.56
Generation 43, Fitness: 5335.00, Best Genome:  \w\w.\w\w, Time Elapsed 11.63
Generation 44, Fitness: 5335.00, Best Genome:  \w\w.\w\w, Time Elapsed 14.30
Generation 45, Fitness: 5335.00, Best Genome:  \w\w.\w\w, Time Elapsed 10.69
Generation 46, Fitness: 5335.00, Best Genome:  \w\w.\w\w, Time Elapsed 10.95
Generation 47, Fitness: 5300.00, Best Genome: \w \w.\w.., Time Elapsed 10.91
Generation 48, Fitness: 5300.00, Best Genome: \w \w.\w.., Time Elapsed 11.38
Generation 49, Fitness: 5300.00, Best Genome: \w \w.\w.., Time Elapsed 10.92
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5642.00, Best Genome: [^ ]\w. [^.], Time Elapsed 2.20
Generation 1, Fitness: 5642.00, Best Genome: [^ ]\w. [^.], Time Elapsed 2.86
Generation 2, Fitness: 5597.00, Best Genome: \w\w[^3].., Time Elapsed 3.17
Generation 3, Fitness: 5597.00, Best Genome: \w\w[^3].., Time Elapsed 3.95
Generation 4, Fitness: 5597.00, Best Genome: \w\w[^3].., Time Elapsed 4.58
Generation 5, Fitness: 5597.00, Best Genome: \w\w[^3].., Time Elapsed 5.24
Generation 6, Fitness: 5457.00, Best Genome: \w[^ ]\w\w, Time Elapsed 5.79
Generation 7, Fitness: 5457.00, Best Genome: \w[^ ]\w\w, Time Elapsed 6.26
Generation 8, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 6.52
Generation 9, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 6.53
Generation 10, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 7.00
Generation 11, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 7.64
Generation 12, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 7.78
Generation 13, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 8.06
Generation 14, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 8.37
Generation 15, Fitness: 5395.00, Best Genome: \w..\w.\w\w, Time Elapsed 8.44
Generation 16, Fitness: 5395.00, Best Genome: \w..\w.\w\w, Time Elapsed 8.62
Generation 17, Fitness: 5395.00, Best Genome: \w..\w.\w\w, Time Elapsed 8.70
